00|75.518.289/5908-84|Empresa Versao2 01 LTDA|(48) 94113-6042
02|1|Licença 265|230,32
02|2|Peça 137|474,78
02|3|Licença 171|374,16
02|4|Componente 661|209,70
02|5|Componente 661|53,89
02|6|Componente 303|275,69
02|7|Peça 272|489,20
02|8|Assinatura 203|332,14
02|9|Licença 937|392,26
02|10|Serviço 880|266,63
01|NFS|02-0007|1924,18
02|1|Produto 160|482,87
02|2|Pacote 206|479,67
02|3|Assinatura 397|156,33
02|4|Serviço 096|377,91
02|5|Assinatura 220|427,40
01|CTRC|02-0008|1683,67
02|1|Licença 276|190,36
02|2|Peça 799|354,81
02|3|Item 500|494,06
02|4|Item 883|229,98
02|5|Pacote 075|15,21
02|6|Componente 281|310,94
02|7|Peça 043|88,31
01|CTRC|02-0009|2394,76
02|1|Produto 265|372,39
02|2|Assinatura 768|329,07
02|3|Item 652|341,17
02|4|Serviço 561|404,46
02|5|Serviço 297|90,30
02|6|Pacote 601|20,61
02|7|Produto 596|379,42
02|8|Componente 715|74,90
02|9|Serviço 140|91,44
02|10|Item 038|291,00
01|NF|02-0010|2236,33
02|1|Componente 472|471,71
02|2|Serviço 279|213,50
02|3|Item 002|469,57
02|4|Serviço 083|306,34
02|5|Pacote 705|482,38
02|6|Peça 733|10,49
02|7|Peça 217|282,34
00|78.518.772/0784-00|Empresa Versao2 03 LTDA|(28) 91541-7686
01|NF|03-0001|952,72
02|1|Componente 042|56,75
02|2|Item 501|230,38
02|3|Peça 419|214,65
02|4|Pacote 831|226,52
02|5|Assinatura 916|224,42
01|NFC|03-0002|2634,16
02|1|Item 336|207,60
02|2|Peça 285|401,29
02|3|Produto 808|61,16
02|4|Peça 916|389,65
02|5|Item 515|481,33
02|6|Peça 539|23,03
02|7|Item 885|273,36
02|8|Pacote 681|178,96
02|9|Serviço 580|383,05
02|10|Serviço 039|234,73
01|NFS|03-0003|931,30
02|1|Serviço 338|166,94
02|2|Pacote 350|162,48
02|3|Item 742|190,56
02|4|Pacote 755|321,23
02|5|Peça 069|90,09
01|NFS|03-0004|2181,07
02|1|Peça 010|311,76
02|2|Item 483|53,42
02|3|Peça 495|458,45
02|4|Item 356|299,20
02|5|Pacote 561|486,37
02|6|Pacote 714|34,04
02|7|Licença 828|75,17
02|8|Pacote 124|386,27
02|9|Item 724|76,39
01|NFS|03-0005|1924,25
02|1|Item 076|336,00
02|2|Item 378|262,31
02|3|Item 755|194,38
02|4|Produto 025|364,89
02|5|Componente 521|186,14
02|6|Peça 457|218,62
02|7|Licença 471|133,33
02|8|Peça 683|77,22
02|9|Item 308|151,36
01|NFC|03-0006|2108,86
02|1|Serviço 649|94,06
02|2|Serviço 978|256,67
02|3|Item 314|65,05
02|4|Assinatura 369|244,43
02|5|Produto 432|309,11
02|6|Produto 451|164,22
02|7|Produto 610|474,38
02|8|Pacote 731|148,55
02|9|Pacote 203|12,09
02|10|Licença 797|340,30
01|NFS|03-0007|945,96
02|1|Serviço 683|40,61
02|2|Produto 659|90,41
02|3|Licença 798|190,88
02|4|Licença 791|375,46
02|5|Licença 066|248,60
01|NFS|03-0008|1321,65
02|1|Licença 327|128,14
02|2|Peça 480|495,92
02|3|Pacote 177|16,13
02|4|Assinatura 019|212,32
02|5|Produto 564|202,54
02|6|Componente 741|266,60
01|NFE|03-0009|1431,95
02|1|Serviço 509|95,13
02|2|Serviço 921|32,79
02|3|Serviço 517|498,25
02|4|Licença 291|407,39
02|5|Serviço 306|398,39
01|NFS|03-0010|1102,28
02|1|Componente 687|189,07
02|2|Peça 028|493,15
02|3|Licença 012|83,21
02|4|Item 432|124,82
02|5|Assinatura 917|212,03
00|48.936.008/3883-20|Empresa Versao2 04 LTDA|(43) 98277-8674
01|NFS|04-0001|1814,86
02|1|Licença 551|494,23
02|2|Peça 541|255,92
02|3|Peça 985|223,77
02|4|Peça 490|289,66
02|5|Pacote 007|276,13
02|6|Assinatura 033|223,48
02|7|Componente 614|51,67
01|NFC|04-0002|1676,90
02|1|Produto 820|368,84
02|2|Componente 099|339,33
02|3|Assinatura 034|105,85
02|4|Serviço 927|196,80
02|5|Item 543|18,45
02|6|Assinatura 047|54,10
02|7|Peça 299|136,71
02|8|Produto 794|98,44
02|9|Produto 122|358,38
01|NFC|04-0003|1680,61
02|1|Produto 906|85,92
02|2|Pacote 997|466,14
02|3|Assinatura 634|26,78
02|4|Produto 078|344,15
02|5|Serviço 009|485,02
02|6|Licença 336|235,10
02|7|Componente 344|37,50
01|NFC|04-0004|1701,28
02|1|Assinatura 434|67,99
02|2|Pacote 545|97,44
02|3|Item 878|241,03
02|4|Produto 840|140,08
02|5|Assinatura 146|446,95
02|6|Licença 565|13,81
02|7|Assinatura 113|333,36
02|8|Componente 241|360,62
01|NFE|04-0005|1531,51
02|1|Assinatura 155|483,22
02|2|Peça 738|274,21
02|3|Licença 617|428,93
02|4|Serviço 916|181,88
02|5|Item 161|163,27
01|NFC|04-0006|1886,47
02|1|Item 862|317,69
02|2|Componente 930|171,03
02|3|Peça 614|362,18
02|4|Produto 357|419,41
02|5|Produto 613|147,86
02|6|Pacote 976|287,40
02|7|Licença 644|180,90
01|NFS|04-0007|3355,93
02|1|Assinatura 306|419,91
02|2|Assinatura 902|166,42
02|3|Licença 068|344,80
02|4|Licença 265|425,69
02|5|Item 689|438,50
02|6|Assinatura 262|149,72
02|7|Peça 563|498,97
02|8|Assinatura 019|478,27
02|9|Peça 826|433,65
01|NFS|04-0008|2592,34
02|1|Pacote 816|425,45
02|2|Licença 173|382,95
02|3|Pacote 038|140,52
02|4|Componente 298|283,59
02|5|Serviço 040|356,26
02|6|Assinatura 537|344,96
02|7|Pacote 509|130,58
02|8|Peça 619|82,40
02|9|Assinatura 609|445,63
01|NFS|04-0009|1229,44
02|1|Assinatura 946|53,86
02|2|Item 364|498,88
02|3|Assinatura 676|49,74
02|4|Licença 023|305,77
02|5|Serviço 301|321,19
01|NF|04-0010|1643,37
02|1|Peça 340|311,12
02|2|Peça 572|336,56
02|3|Licença 829|133,06
02|4|Item 068|303,07
02|5|Assinatura 172|376,74
02|6|Assinatura 688|182,82
00|65.650.248/4910-45|Empresa Versao2 05 LTDA|(41) 97995-8549
01|CTRC|05-0001|2599,41
02|1|Produto 911|334,00
02|2|Serviço 981|103,85
02|3|Pacote 217|244,63
02|4|Item 629|160,34
02|5|Assinatura 978|381,76
02|6|Assinatura 228|83,44
02|7|Peça 276|486,79
02|8|Componente 745|482,04
02|9|Item 585|288,37
02|10|Licença 209|34,19
01|NF|05-0002|1896,04
02|1|Pacote 990|177,62
02|2|Produto 398|127,12
02|3|Peça 367|38,29
02|4|Licença 875|471,81
02|5|Componente 599|375,27
02|6|Serviço 768|290,55
02|7|Assinatura 118|287,79
02|8|Licença 068|127,59
01|NFS|05-0003|1868,37
02|1|Peça 445|310,88
02|2|Pacote 282|127,38
02|3|Serviço 301|77,06
02|4|Pacote 604|437,15
02|5|Serviço 035|421,78
02|6|Componente 320|244,34
02|7|Peça 679|124,76
02|8|Item 120|125,02
01|NFC|05-0004|2187,63
02|1|Pacote 166|254,09
02|2|Item 154|44,30
02|3|Licença 330|207,21
02|4|Item 720|336,99
02|5|Componente 944|268,11
02|6|Componente 294|39,67
02|7|Peça 047|249,42
02|8|Componente 303|178,79
02|9|Assinatura 251|365,41
02|10|Componente 496|243,64
01|NFE|05-0005|2919,67
02|1|Serviço 634|453,86
02|2|Componente 797|277,01
02|3|Componente 027|458,40
02|4|Pacote 760|344,60
02|5|Componente 692|397,20
02|6|Item 227|67,09
02|7|Assinatura 634|430,62
02|8|Licença 997|392,88
02|9|Serviço 740|27,39
02|10|Componente 787|70,62
01|NFS|05-0006|915,72
02|1|Serviço 298|247,16
02|2|Assinatura 732|79,36
02|3|Item 689|179,85
02|4|Licença 658|333,87
02|5|Assinatura 071|75,48
01|NFC|05-0007|1110,73
02|1|Serviço 329|155,70
02|2|Pacote 415|161,34
02|3|Pacote 084|163,53
02|4|Licença 587|262,63
02|5|Serviço 933|367,53
01|CTRC|05-0008|1539,16
02|1|Licença 517|452,37
02|2|Serviço 229|184,33
02|3|Pacote 914|302,75
02|4|Produto 523|134,65
02|5|Item 349|402,14
02|6|Assinatura 601|62,92
01|NFS|05-0009|2182,23
02|1|Produto 328|266,47
02|2|Pacote 326|420,47
02|3|Pacote 439|184,07
02|4|Item 156|131,11
02|5|Produto 204|412,93
02|6|Assinatura 944|140,71
02|7|Serviço 328|327,13
02|8|Pacote 951|237,59
02|9|Licença 478|61,75
01|NF|05-0010|802,30
02|1|Assinatura 644|158,94
02|2|Serviço 213|307,24
02|3|Licença 324|82,44
02|4|Assinatura 629|162,85
02|5|Item 377|90,83
00|86.738.388/6157-23|Empresa Versao2 06 LTDA|(01) 99186-2182
01|NFC|06-0001|2268,42
02|1|Licença 111|370,02
02|2|Pacote 766|21,97
02|3|Licença 400|244,70
02|4|Serviço 697|199,37
02|5|Pacote 720|180,81
02|6|Licença 868|498,69
02|7|Componente 659|414,36
02|8|Serviço 715|126,36
02|9|Pacote 521|212,14
01|NF|06-0002|1904,66
02|1|Pacote 826|479,09
02|2|Assinatura 461|298,15
02|3|Serviço 758|151,81
02|4|Produto 670|425,36
02|5|Item 007|353,46
02|6|Componente 148|196,79
01|NFE|06-0003|1903,86
02|1|Peça 002|462,37
02|2|Componente 360|423,91
02|3|Serviço 243|256,16
02|4|Item 317|52,46
02|5|Pacote 288|66,96
02|6|Componente 753|114,45
02|7|Produto 018|464,99
02|8|Pacote 564|33,33
02|9|Serviço 763|29,23
01|CTRC|06-0004|1981,30
02|1|Peça 423|400,49
02|2|Componente 693|235,58
02|3|Licença 901|121,28
02|4|Serviço 048|314,64
02|5|Licença 545|34,65
02|6|Produto 421|389,17
02|7|Assinatura 045|284,96
02|8|Item 139|200,53
01|CTRC|06-0005|1516,35
02|1|Serviço 539|399,92
02|2|Assinatura 890|76,87
02|3|Peça 210|480,74
02|4|Peça 539|368,70
02|5|Item 930|190,12
01|NFS|06-0006|1595,14
02|1|Pacote 687|321,21
02|2|Licença 315|18,31
02|3|Pacote 215|419,34
02|4|Item 194|424,38
02|5|Pacote 893|116,62
02|6|Item 235|255,54
02|7|Assinatura 991|39,74
01|CTRC|06-0007|1763,46
02|1|Pacote 582|87,37
02|2|Componente 843|253,36
02|3|Pacote 136|423,05
02|4|Componente 105|282,94
02|5|Pacote 361|187,50
02|6|Licença 032|435,49
02|7|Serviço 254|38,20
02|8|Produto 844|55,55
01|NF|06-0008|1041,54
02|1|Produto 107|298,78
02|2|Serviço 883|240,61
02|3|Assinatura 620|72,69
02|4|Peça 036|390,43
02|5|Produto 335|39,03
01|NFC|06-0009|2599,80
02|1|Licença 347|427,52
02|2|Item 020|450,44
02|3|Serviço 309|424,87
02|4|Licença 770|348,60
02|5|Licença 394|162,74
02|6|Pacote 933|322,67
02|7|Item 303|17,22
02|8|Produto 969|445,74
01|NFC|06-0010|1164,41
02|1|Licença 962|14,98
02|2|Componente 329|353,47
02|3|Serviço 755|53,56
02|4|Licença 418|159,21
02|5|Produto 367|57,94
02|6|Licença 604|300,61
02|7|Item 382|224,64
00|99.368.085/1089-61|Empresa Versao2 07 LTDA|(18) 91633-9692
01|CTRC|07-0001|1789,29
02|1|Pacote 124|327,58
02|2|Item 672|121,96
02|3|Serviço 188|458,53
02|4|Assinatura 294|86,77
02|5|Licença 696|428,20
02|6|Pacote 665|162,69
02|7|Serviço 484|145,71
02|8|Assinatura 633|57,85
01|NFS|07-0002|1010,88
02|1|Item 654|340,41
02|2|Produto 561|87,09
02|3|Componente 054|317,14
02|4|Produto 595|80,37
02|5|Licença 255|185,87
01|NFC|07-0003|1015,89
02|1|Pacote 976|64,79
02|2|Componente 635|39,97
02|3|Item 217|214,00
02|4|Serviço 339|311,46
02|5|Item 760|11,42
02|6|Item 476|180,85
02|7|Assinatura 934|193,40
01|NFS|07-0004|1905,72
02|1|Peça 220|91,11
02|2|Peça 300|186,92
02|3|Componente 904|277,41
02|4|Licença 664|444,99
02|5|Componente 987|241,94
02|6|Componente 892|339,29
02|7|Item 512|61,75
02|8|Produto 832|106,09
02|9|Pacote 964|156,22
01|CTRC|07-0005|1019,53
02|1|Produto 720|428,61
02|2|Assinatura 934|26,11
02|3|Componente 606|59,52
02|4|Pacote 712|206,59
02|5|Componente 943|298,70
01|NFE|07-0006|1901,64
02|1|Componente 415|195,44
02|2|Serviço 868|460,19
02|3|Licença 680|196,69
02|4|Assinatura 516|327,13
02|5|Produto 035|258,73
02|6|Componente 675|386,02
02|7|Produto 878|77,44
01|CTRC|07-0007|1904,30
02|1|Serviço 510|431,19
02|2|Pacote 336|331,98
02|3|Assinatura 949|476,98
02|4|Produto 592|351,78
02|5|Item 100|312,37
01|NFC|07-0008|1486,06
02|1|Serviço 030|222,46
02|2|Serviço 386|235,44
02|3|Pacote 255|142,50
02|4|Pacote 995|42,02
02|5|Produto 783|374,46
02|6|Serviço 479|469,18
01|NFC|07-0009|1219,90
02|1|Componente 532|308,60
02|2|Peça 204|172,25
02|3|Peça 459|251,19
02|4|Assinatura 097|176,43
02|5|Pacote 477|311,43
01|NFS|07-0010|2013,00
02|1|Licença 065|453,74
02|2|Pacote 918|241,23
02|3|Peça 954|149,29
02|4|Produto 792|421,13
02|5|Item 643|32,64
02|6|Pacote 027|386,03
02|7|Serviço 747|16,75
02|8|Componente 674|312,19
00|19.738.243/1073-72|Empresa Versao2 08 LTDA|(77) 92558-9882
01|CTRC|08-0001|1733,85
02|1|Licença 962|360,26
02|2|Item 862|58,67
02|3|Produto 988|37,79
02|4|Serviço 340|248,16
02|5|Item 251|329,48
02|6|Produto 699|319,11
02|7|Pacote 133|179,50
02|8|Produto 234|94,11
02|9|Produto 656|16,82
02|10|Licença 628|89,95
01|NFS|08-0002|2393,11
02|1|Item 933|319,60
02|2|Pacote 272|33,40
02|3|Produto 895|137,03
02|4|Componente 705|494,07
02|5|Produto 453|366,48
02|6|Produto 237|179,03
02|7|Componente 978|41,54
02|8|Pacote 243|279,94
02|9|Licença 046|246,77
02|10|Serviço 884|295,25
01|NFC|08-0003|1953,82
02|1|Licença 527|100,54
02|2|Item 452|370,33
02|3|Licença 303|225,89
02|4|Licença 879|362,57
02|5|Assinatura 499|286,01
02|6|Item 549|125,53
02|7|Item 746|482,95
01|NF|08-0004|1575,74
02|1|Licença 626|495,77
02|2|Assinatura 565|450,63
02|3|Componente 126|336,84
02|4|Licença 923|160,28
02|5|Item 744|132,22
01|NF|08-0005|2599,58
02|1|Serviço 760|387,19
02|2|Item 308|398,29
02|3|Assinatura 985|120,96
02|4|Componente 453|289,04
02|5|Pacote 998|331,89
02|6|Serviço 182|327,55
02|7|Peça 192|162,84
02|8|Item 716|155,83
02|9|Serviço 730|425,99
01|NF|08-0006|1882,79
02|1|Componente 820|29,87
02|2|Pacote 996|253,79
02|3|Item 661|332,17
02|4|Peça 405|332,83
02|5|Assinatura 344|62,77
02|6|Pacote 231|42,85
02|7|Item 728|379,28
02|8|Assinatura 680|329,10
02|9|Produto 762|120,13
01|NFS|08-0007|1239,94
02|1|Peça 925|101,13
02|2|Serviço 250|99,94
02|3|Item 552|141,86
02|4|Componente 042|87,86
02|5|Serviço 830|410,33
02|6|Serviço 050|382,14
02|7|Produto 218|16,68
01|CTRC|08-0008|2275,80
02|1|Pacote 982|174,24
02|2|Assinatura 179|279,53
02|3|Item 603|394,99
02|4|Pacote 782|14,26
02|5|Item 867|393,37
02|6|Peça 524|402,25
02|7|Serviço 978|353,91
02|8|Assinatura 557|263,25
01|NFC|08-0009|881,62
02|1|Serviço 523|87,39
02|2|Item 155|50,24
02|3|Peça 905|300,29
02|4|Item 184|325,02
02|5|Pacote 459|118,68
01|NFS|08-0010|2622,17
02|1|Peça 142|492,46
02|2|Item 948|257,14
02|3|Componente 664|201,41
02|4|Licença 364|350,15
02|5|Produto 528|339,13
02|6|Serviço 432|282,62
02|7|Licença 374|79,63
02|8|Produto 877|140,81
02|9|Produto 495|478,82
00|62.143.095/4188-64|Empresa Versao2 09 LTDA|(69) 97093-9306
01|NF|09-0001|894,19
02|1|Licença 077|50,07
02|2|Peça 760|126,74
02|3|Licença 531|140,03
02|4|Pacote 183|70,56
02|5|Assinatura 498|450,80
02|6|Item 998|55,99
01|NFS|09-0002|940,16
02|1|Item 595|136,08
02|2|Item 606|11,29
02|3|Serviço 709|274,14
02|4|Item 270|303,62
02|5|Produto 777|215,03
01|CTRC|09-0003|1997,56
02|1|Assinatura 073|82,71
02|2|Serviço 801|412,26
02|3|Licença 141|168,40
02|4|Produto 950|244,54
02|5|Serviço 625|24,75
02|6|Assinatura 865|318,34
02|7|Serviço 496|491,74
02|8|Serviço 617|113,23
02|9|Assinatura 824|141,59
01|NF|09-0004|1477,56
02|1|Licença 144|12,57
02|2|Pacote 325|125,06
02|3|Assinatura 011|255,23
02|4|Assinatura 730|279,23
02|5|Licença 785|11,82
02|6|Item 103|351,84
02|7|Peça 107|107,75
02|8|Licença 165|275,41
02|9|Licença 631|58,65
01|NFE|09-0005|2066,33
02|1|Peça 919|74,80
02|2|Componente 301|390,72
02|3|Assinatura 813|375,03
02|4|Produto 069|479,18
02|5|Assinatura 380|495,33
02|6|Pacote 956|251,27
01|NFE|09-0006|1138,11
02|1|Pacote 112|31,27
02|2|Produto 987|95,28
02|3|Assinatura 870|339,93
02|4|Componente 479|261,92
02|5|Licença 678|207,12
02|6|Produto 016|202,59
01|NFC|09-0007|2586,53
02|1|Item 070|158,77
02|2|Serviço 995|216,01
02|3|Produto 456|398,75
02|4|Item 984|422,41
02|5|Pacote 434|277,03
02|6|Produto 308|207,03
02|7|Produto 009|223,32
02|8|Assinatura 530|154,41
02|9|Item 360|434,48
02|10|Licença 166|94,32
01|NFS|09-0008|2280,95
02|1|Assinatura 093|482,02
02|2|Serviço 994|485,09
02|3|Serviço 913|240,72
02|4|Pacote 120|252,32
02|5|Licença 548|374,62
02|6|Licença 030|446,18
01|NFE|09-0009|1635,26
02|1|Serviço 994|267,37
02|2|Item 214|215,01
02|3|Licença 133|347,26
02|4|Peça 233|295,13
02|5|Assinatura 099|192,29
02|6|Pacote 441|22,87
02|7|Item 045|206,10
02|8|Peça 596|89,23
01|CTRC|09-0010|1897,56
02|1|Produto 189|366,25
02|2|Item 156|396,18
02|3|Item 336|22,21
02|4|Produto 324|148,61
02|5|Peça 626|230,66
02|6|Licença 611|325,13
02|7|Licença 741|173,99
02|8|Componente 457|234,53
00|82.035.428/1530-37|Empresa Versao2 10 LTDA|(04) 94856-0821
01|NFC|10-0001|950,94
02|1|Item 130|142,53
02|2|Pacote 439|167,13
02|3|Componente 465|387,97
02|4|Licença 838|112,96
02|5|Pacote 189|21,22
02|6|Peça 065|54,18
02|7|Peça 051|64,95
01|CTRC|10-0002|2135,61
02|1|Componente 090|98,91
02|2|Serviço 507|382,55
02|3|Serviço 980|227,84
02|4|Pacote 015|381,66
02|5|Peça 847|409,30
02|6|Peça 716|261,82
02|7|Assinatura 295|34,26
02|8|Produto 117|103,93
02|9|Pacote 394|235,34
01|NFS|10-0003|1014,88
02|1|Serviço 493|398,81
02|2|Componente 878|24,17
02|3|Serviço 397|95,95
02|4|Serviço 354|446,01
02|5|Peça 120|49,94
01|CTRC|10-0004|740,26
02|1|Componente 228|248,84
02|2|Serviço 184|214,45
02|3|Licença 928|63,29
02|4|Serviço 095|126,91
02|5|Componente 450|86,77
01|NFS|10-0005|2051,32
02|1|Pacote 575|270,19
02|2|Licença 673|148,82
02|3|Peça 520|447,34
02|4|Licença 258|272,64
02|5|Licença 847|363,21
02|6|Licença 487|106,46
02|7|Item 172|442,66
01|NFS|10-0006|1978,66
02|1|Assinatura 983|418,24
02|2|Serviço 959|406,35
02|3|Serviço 632|213,16
02|4|Serviço 791|112,23
02|5|Pacote 322|314,00
02|6|Licença 585|330,61
02|7|Componente 558|32,02
02|8|Item 672|152,05
01|NF|10-0007|2108,11
02|1|Assinatura 401|487,09
02|2|Item 252|317,45
02|3|Componente 742|449,08
02|4|Pacote 770|341,01
02|5|Peça 807|83,99
02|6|Serviço 752|429,49
01|NF|10-0008|2477,78
02|1|Licença 870|359,26
02|2|Pacote 412|325,18
02|3|Produto 159|209,06
02|4|Assinatura 064|341,95
02|5|Componente 408|453,59
02|6|Pacote 276|316,53
02|7|Item 308|442,18
02|8|Componente 452|30,03
01|NFC|10-0009|2401,35
02|1|Assinatura 237|403,82
02|2|Peça 255|76,01
02|3|Licença 428|21,25
02|4|Licença 214|419,48
02|5|Item 148|261,33
02|6|Componente 868|165,89
02|7|Item 389|453,73
02|8|Pacote 260|206,72
02|9|Item 520|393,12
01|NFC|10-0010|2687,52
02|1|Pacote 755|150,25
02|2|Pacote 369|130,54
02|3|Licença 260|496,04
02|4|Peça 517|435,59
02|5|Licença 380|119,57
02|6|Produto 099|475,47
02|7|Peça 464|11,85
02|8|Licença 347|174,96
02|9|Pacote 698|259,99
02|10|Peça 999|433,26
00|71.622.144/4105-73|Empresa Versao2 11 LTDA|(92) 98906-9939
01|NF|11-0001|2235,21
02|1|Item 733|315,05
02|2|Item 374|382,44
02|3|Assinatura 918|326,61
02|4|Licença 794|420,19
02|5|Licença 425|159,08
02|6|Peça 615|93,14
02|7|Componente 798|488,02
02|8|Produto 830|50,68
01|CTRC|11-0002|1483,44
02|1|Componente 146|159,62
02|2|Item 048|141,16
02|3|Componente 431|65,71
02|4|Serviço 159|26,89
02|5|Item 343|82,87
02|6|Componente 495|350,46
02|7|Serviço 574|499,61
02|8|Item 326|157,12
01|NF|11-0003|2487,32
02|1|Componente 393|230,67
02|2|Peça 889|365,70
02|3|Peça 072|392,76
02|4|Peça 026|427,66
02|5|Produto 257|94,70
02|6|Serviço 962|173,32
02|7|Peça 304|151,31
02|8|Pacote 342|349,06
02|9|Assinatura 943|302,14
01|NFS|11-0004|2193,77
02|1|Licença 269|314,75
02|2|Componente 059|299,64
02|3|Serviço 455|336,91
02|4|Pacote 528|141,37
02|5|Pacote 354|438,50
02|6|Licença 172|260,77
02|7|Peça 202|401,83
01|CTRC|11-0005|1235,32
02|1|Produto 755|145,40
02|2|Serviço 921|467,07
02|3|Serviço 719|102,61
02|4|Pacote 988|36,48
02|5|Item 879|355,03
02|6|Componente 190|128,73
01|NFC|11-0006|2578,17
02|1|Componente 280|465,87
02|2|Serviço 796|486,18
02|3|Assinatura 364|404,47
02|4|Componente 822|392,00
02|5|Peça 567|208,12
02|6|Assinatura 672|285,69
02|7|Licença 139|119,30
02|8|Peça 224|216,54
01|NF|11-0007|2579,31
02|1|Item 782|250,19
02|2|Pacote 523|458,84
02|3|Licença 962|214,01
02|4|Serviço 211|22,69
02|5|Componente 436|438,72
02|6|Assinatura 105|441,46
02|7|Licença 232|181,71
02|8|Componente 864|204,33
02|9|Componente 270|367,36
01|NFC|11-0008|2002,48
02|1|Item 420|52,66
02|2|Componente 021|69,43
02|3|Componente 852|339,47
02|4|Licença 603|334,26
02|5|Pacote 155|354,24
02|6|Item 329|499,29
02|7|Licença 666|353,13
01|NFC|11-0009|1858,10
02|1|Serviço 781|84,71
02|2|Produto 694|437,44
02|3|Componente 619|211,85
02|4|Peça 254|279,36
02|5|Licença 313|314,77
02|6|Item 429|410,96
02|7|Serviço 294|119,01
01|NFC|11-0010|1368,65
02|1|Licença 014|88,49
02|2|Componente 649|104,28
02|3|Componente 733|275,50
02|4|Pacote 213|373,68
02|5|Serviço 998|186,39
02|6|Produto 716|340,31
